exam_number,question_number,question_text,options,context,generated_answer,actual_answer
7,1,Rashtriya Swasthya Bima Yojna is mainly meant to serve the needs of,"A) Organised workers 
 B) Unorganised workers 
 C) Unorganized sector workers belonging to BPL category and their family members 
 D) Organized sector workers belonging to BPL category and their family members","Rashtriya Swasthya Bima Yojna (RSBY) is a government-run health insurance program launched in 2008 with the objective of providing financial protection to vulnerable sections of society against medical expenses. The program aims to reduce out-of-pocket expenditure on healthcare, which is a significant burden for many Indian families.

In India, the workforce is broadly classified into two categories: organized and unorganized. The organized sector includes workers employed in formal industries, such as manufacturing, IT, and finance, who are typically covered under various social security schemes, including health insurance. On the other hand, the unorganized sector includes workers engaged in informal activities, such as agriculture, construction, and street vending, who often lack access to social security benefits.

The Government of India has implemented various initiatives to address the healthcare needs of different segments of the population. One such initiative is RSBY, which targets a specific section of the population that is most in need of healthcare support.

Now, considering the options provided, which category of workers do you think RSBY is mainly meant to serve?", C,C
7,2,Equal pay for equal work for both men and women is proclaimed under---------- of the Constitution of India.,"A) Art.39(a) 
 B) Art.39(d) 
 C) Art.39(b) 
 D) Art.39(c)","The Constitution of India, adopted in 1950, is a comprehensive document that outlines the framework of the country's governance and the rights of its citizens. One of the fundamental principles enshrined in the Constitution is the concept of equality, which is reflected in various provisions. In the context of employment, the Constitution recognizes the importance of equal opportunities and fair treatment for all individuals, regardless of their gender.

Article 39, which is part of the Directive Principles of State Policy, outlines certain principles that the State should strive to achieve in order to promote the welfare of its citizens. This article is particularly significant in the context of labor laws and social justice. One of the clauses of Article 39 specifically deals with the issue of equal pay for equal work, emphasizing the need to eliminate discrimination based on gender in the workplace.

In this context, it is essential to identify the correct clause of Article 39 that explicitly proclaims the principle of equal pay for equal work for both men and women.", C,B
7,3,"Where any workman is suspended by the employer pending investigation or inquiry into complaints or charges of misconduct against him, the employer shall pay to such workman subsistence allowance. This provision was inserted in the Industrial, Employment (Standing Orders) Act, 1946 in which year","A) 1992 
 B) 1982 
 C) 2009 
 D) 2010","The Industrial Employment (Standing Orders) Act, 1946 is a significant legislation in India that regulates the conditions of employment in industrial establishments. One of the key aspects of this Act is the provision related to suspension of workmen pending investigation or inquiry into complaints or charges of misconduct against them.

Prior to a specific amendment, there was no explicit provision in the Act that ensured the payment of subsistence allowance to suspended workmen during the period of investigation or inquiry. This led to concerns about the welfare and livelihood of workmen who were suspended without pay, pending the outcome of the inquiry.

To address this issue, the government introduced an amendment to the Industrial Employment (Standing Orders) Act, 1946, which inserted a provision requiring employers to pay subsistence allowance to workmen suspended pending investigation or inquiry into complaints or charges of misconduct against them.

This amendment was a significant step towards protecting the rights of workmen and ensuring that they are not left without a means of livelihood during the period of suspension. The question is, in which year was this provision inserted into the Industrial Employment (Standing Orders) Act, 1946?

 Options: A) 1992, B) 1982, C) 2009, D) 2010", C,B
7,4,Which was a leading case on the point as to whether an employer has a right to deduct wages unilaterally and without holding an enquiry for the period the employees go on strike or resort to go slow,"A) Bank of India v. T.S.Kelawala and others 
 B) Randhirsingh v. Union of India 
 C) Kamani metals and alloys Ltd. v. Their workmen 
 D) Workmen v. Reptakos Brett and Co.Ltd.","In India, labor laws and industrial disputes are governed by various statutes, including the Industrial Disputes Act, 1947. One of the key aspects of labor laws is the payment of wages to employees. However, in situations where employees engage in strikes or go-slow tactics, employers often face the dilemma of whether they can deduct wages for the period of such industrial action.

In this context, the Supreme Court of India has played a crucial role in shaping the jurisprudence on this issue. In a landmark judgment, the apex court had to decide whether an employer has the right to unilaterally deduct wages without holding an enquiry for the period the employees go on strike or resort to go-slow tactics.

The court's decision in this case has had significant implications for employer-employee relationships and has served as a guiding principle for industrial disputes involving strikes and go-slow tactics. The case in question has been widely cited and relied upon in subsequent judgments, and its ratio decidendi continues to influence labor laws in India.

Now, considering the options provided, which case do you think is the leading authority on this point?", C,A
7,5,"Under the Industrial disputes Act, if the employer terminates the services of an individual workman, any dispute /difference arising out of such termination shall be deemed to be':","A) industrial dispute 
 B) individual dispute 
 C) both individual and industrial dispute 
 D) none of these.","In India, the Industrial Disputes Act, 1947, is a crucial legislation that governs the relationship between employers and employees in the industrial sector. One of the key aspects of this Act is the definition and resolution of industrial disputes. 

According to Section 2A of the Industrial Disputes Act, an ""industrial dispute"" is defined as any dispute or difference between employers and employees, or between employers and workmen, or between workmen and workmen, which is connected with the employment or non-employment or the terms of employment or with the conditions of labour, of any person. 

Now, let's consider a scenario where an employer terminates the services of an individual workman. In such a situation, a dispute arises between the employer and the terminated workman regarding the termination of his services. The question is, how would this dispute be classified under the Industrial Disputes Act? 

Would it be considered an industrial dispute, an individual dispute, or something else? The correct classification of this dispute is crucial in determining the appropriate forum and procedure for its resolution.", B,A
7,6,Gloucstershire grammar School Case is a leading case to explain the,"A) Volenti non fit injuria 
 B) Injuria non fit volenti 
 C) Damnum sine injuria 
 D) Injuria sine damnum","In the realm of tort law, there exist certain principles that guide the courts in determining liability for damages. One such principle is that of consent, which can either absolve or attract liability. Imagine a scenario where a person voluntarily agrees to participate in a high-risk activity, such as skydiving or bungee jumping, and subsequently suffers an injury. In such cases, the question arises as to whether the person can claim damages from the organizer or service provider.

Another scenario could be where a person, despite being aware of the potential risks, chooses to use a defective product or service, and subsequently suffers harm. Here, the issue is whether the person's consent to use the product or service would bar them from claiming damages.

In both these scenarios, the courts have to balance the principles of personal autonomy and freedom of choice with the need to protect individuals from harm. The Gloucstershire grammar School Case is a landmark judgment that has shed light on one of these principles, which is closely related to the concept of consent and injury.

Can you now choose the correct option that best explains the principle illustrated in the Gloucestershire grammar School Case?", B,C
7,7,"Right to freedom to acquire, hold and dispose -off property is abolished by","A) 44th Amendment Act, 1978 
 B) 43 rd Amendment Act, 1976 
 C) 50 th Amendment Act, 1950 
 D) I st Amendment Act, 1951","The Indian Constitution, adopted in 1950, guaranteed certain fundamental rights to its citizens. One such right was the right to property, which was enshrined in Article 19(1)(f) and Article 31 of the Constitution. This right allowed citizens to acquire, hold, and dispose of property as they saw fit. However, over time, the government felt the need to reform the landholding system and redistribute land from large landholders to the landless. This led to a series of land reform laws and amendments to the Constitution.

In the 1970s, the government introduced a series of constitutional amendments aimed at reducing the power of the judiciary and increasing the power of the parliament. One such amendment was introduced to abolish the right to property as a fundamental right. This amendment was a significant departure from the original Constitution and had far-reaching implications for the country's economic and social policies.

Now, the question is, which amendment abolished the right to freedom to acquire, hold, and dispose of property?", D,A
7,8,Which one of the following is covered under the definition of State,"A) The Indian Statistical Institute 
 B) Indian Council of Agricultural Research 
 C) Sainik School Society 
 D) NCERT on","In India, the term ""State"" has a specific connotation under the Constitution. Article 12 of the Constitution defines ""State"" to include not only the Government of India but also other entities that are instrumentalities of the State. This definition is crucial in determining the scope of fundamental rights, particularly Article 14 (Right to Equality) and Article 21 (Right to Life and Personal Liberty), which can be enforced against the State.

The Supreme Court has interpreted the definition of ""State"" in various judgments, including the landmark case of Ajay Hasia vs. Khalid Mujib (1981). In this case, the Court held that an entity can be considered an instrumentality of the State if it is financed, controlled, or regulated by the Government, or if it performs a public function.

In light of this definition, let's examine the options:

A) The Indian Statistical Institute: Is this institute an autonomous body or is it controlled by the Government?

B) Indian Council of Agricultural Research: Does this council receive funding from the Government, and does it perform a public function?

C) Sainik School Society: Is this society a private organization or is it regulated by the Government?

D) NCERT: Does this educational body receive funding from the Government, and does it perform a public function?

By analyzing these options in the context of the definition of ""State"" under Article 12 of the Constitution, we can determine which one of these entities is covered under the definition of State.", D,D
7,9,National Conservation Strategy and Policy Statement Environment and Development is a major environmental policy in India and it was passed in the year,"A) 1988 
 B) 1982 
 C) 1992 
 D) 1990","In the late 20th century, India was facing significant environmental challenges, including deforestation, pollution, and loss of biodiversity. The Indian government recognized the need for a comprehensive policy framework to address these issues and ensure sustainable development. In this context, a major environmental policy was formulated, which aimed to promote conservation and sustainable use of natural resources, while also ensuring economic growth and social justice.

This policy was influenced by international developments, including the United Nations Conference on Environment and Development (UNCED), also known as the Rio Earth Summit, which took place in 1992. However, India had already started taking steps towards environmental conservation and sustainable development in the preceding decade.

One of the key milestones in this journey was the passage of a landmark policy statement that outlined the country's vision and strategy for environmental conservation and development. This policy statement was a significant step forward in India's environmental governance and has had a lasting impact on the country's approach to sustainable development.

Now, considering the options provided, which year is most likely to be the correct answer?", C,C
7,10,"----- of the Environmental Protection Act, 1986, defines 'Environment'","A) Section 2(a) 
 B) Section 3(a) 
 C) Section 1(a) 
 D) Section 11(a)","The Environmental Protection Act, 1986 is a comprehensive legislation enacted by the Indian Parliament to protect and improve the environmental quality. The Act provides a framework for the protection and improvement of the environment, and it is considered a landmark legislation in the field of environmental law in India. 

The Act defines various terms and concepts related to the environment, which are essential to understand the scope and applicability of the Act. One such important definition is that of 'Environment', which is a crucial concept in understanding the purview of the Act. 

Section 2 of the Environmental Protection Act, 1986 deals with the definitions of various terms used in the Act. This section is important as it provides clarity on the meaning and interpretation of various terms used in the Act. 

Now, it's up to you to identify the correct section that defines 'Environment' under the Environmental Protection Act, 1986.", C,A
