exam_number,question_number,question_text,options,context,generated_answer,actual_answer
7,1,Rashtriya Swasthya Bima Yojna is mainly meant to serve the needs of,"A) Organised workers 
 B) Unorganised workers 
 C) Unorganized sector workers belonging to BPL category and their family members 
 D) Organized sector workers belonging to BPL category and their family members","

In India, the healthcare sector has been a concern for the government for a long time. The Indian government has introduced various schemes and programs to provide healthcare facilities to its citizens, especially the underprivileged sections. One such initiative is the Rashtriya Swasthya Bima Yojna (RSBY), launched in 2008. The main objective of RSBY is to provide health insurance to the poor and vulnerable sections of the society. The scheme aims to reduce the financial burden of healthcare expenses on the poor households and improve their access to quality healthcare services.

RSBY is a government-run health insurance program that provides cashless hospitalization facilities to the beneficiaries. The scheme is designed to provide financial protection to the families living below the poverty line (BPL) and other vulnerable groups. The scheme operates on a business model where the government pays the premium on behalf of the beneficiaries, and the insurance companies provide the healthcare services to them. 

The scheme has been successful in providing healthcare facilities to many people, especially in rural areas where healthcare infrastructure is limited. However, there are still many challenges that the scheme faces, such as inadequate healthcare infrastructure, lack of awareness among the beneficiaries, and limited coverage of the scheme. Despite these challenges, RSBY has been a significant step towards providing healthcare facilities to the underprivileged sections of the society.",C) Unorganized sector workers belonging to BPL category and their family members,C
7,2,Equal pay for equal work for both men and women is proclaimed under---------- of the Constitution of India.,"A) Art.39(a) 
 B) Art.39(d) 
 C) Art.39(b) 
 D) Art.39(c)",,A) Art.39(a),B
7,3,"Where any workman is suspended by the employer pending investigation or inquiry into complaints or charges of misconduct against him, the employer shall pay to such workman subsistence allowance. This provision was inserted in the Industrial, Employment (Standing Orders) Act, 1946 in which year","A) 1992 
 B) 1982 
 C) 2009 
 D) 2010","

The Industrial Employment (Standing Orders) Act, 1946 is a significant piece of legislation that governs the terms and conditions of service of workers in industrial establishments. The Act aims to provide a framework for the regulation of service conditions, including suspension, of workers in industrial establishments. In the initial years of its enactment, the Act did not provide for the payment of subsistence allowance to suspended workers. However, with the changing industrial landscape and the growing need for protecting workers' rights, an amendment was introduced to the Act. This amendment inserted a provision that made it mandatory for employers to pay subsistence allowance to workers suspended pending investigation or inquiry into complaints or charges of misconduct against them. This amendment was a significant step towards safeguarding the interests of workers and ensuring that they were not left without a means of livelihood during the period of suspension.

The amendment was introduced in response to the growing concerns about the exploitation of workers and the need for a more equitable and just industrial relations system. The government of the day recognized the importance of protecting workers' rights and introduced the amendment to ensure that workers were not left vulnerable during the period of suspension. The exact year of the amendment is a matter of record, but it is clear that it was a significant step towards promoting a more equitable and just industrial relations system in the country.",B) 1982,B
7,4,Which was a leading case on the point as to whether an employer has a right to deduct wages unilaterally and without holding an enquiry for the period the employees go on strike or resort to go slow,"A) Bank of India v. T.S.Kelawala and others 
 B) Randhirsingh v. Union of India 
 C) Kamani metals and alloys Ltd. v. Their workmen 
 D) Workmen v. Reptakos Brett and Co.Ltd."," The question revolves around whether an employer has the authority to unilaterally deduct wages without conducting an enquiry. This issue assumes significance in the context of the Indian industrial scenario, where strikes and other forms of industrial action are not uncommon. 

In this backdrop, a landmark judgment played a crucial role in shaping the contours of this debate. The case in question involved a dispute between an employer and its employees, who had resorted to a strike in protest against certain working conditions. The employer, citing the absence of the employees from work, deducted their wages for the period of the strike. The employees, on the other hand, contended that such deductions were illegal and arbitrary, as they were not given an opportunity to present their case. The matter ultimately reached the courts, which had to grapple with the question of whether the employer's action was justified.

In this context, the court's verdict assumed great significance, as it had far-reaching implications for the rights of both employers and employees in industrial disputes. The court's decision would ultimately determine the limits of an employer's authority to deduct wages and the safeguards that must be in place to protect the rights of employees.",A) Bank of India v. T.S.Kelawala and others,A
7,5,"Under the Industrial disputes Act, if the employer terminates the services of an individual workman, any dispute /difference arising out of such termination shall be deemed to be':","A) industrial dispute 
 B) individual dispute 
 C) both individual and industrial dispute 
 D) none of these.","

Context: 
The Industrial Disputes Act, 1947, is a comprehensive legislation that governs the resolution of industrial disputes in India. According to Section 2A of the Act, an ""industrial dispute"" means any dispute or difference between employers and employees, or between employers and workmen, or between workmen and workmen, which is connected with the employment or non-employment or the terms of employment or with the conditions of labour, of any person. This definition encompasses a wide range of disputes, including those related to termination of services of an individual workman. In such cases, the dispute is not limited to the individual worker alone, but also affects the collective interests of the workmen as a whole. Therefore, it is essential to determine the nature of the dispute arising out of such termination to resolve it effectively.",A) industrial dispute,A
7,6,Gloucstershire grammar School Case is a leading case to explain the,"A) Volenti non fit injuria 
 B) Injuria non fit volenti 
 C) Damnum sine injuria 
 D) Injuria sine damnum"," According to the rule, students were required to participate in a sports competition, as part of the school's curriculum. During one such event, a student suffered a severe injury while playing the game. The student's parents sued the school authorities, claiming compensation for the damages caused to their child. The school authorities, in their defense, argued that the student had willingly participated in the game, knowing the risks involved. They claimed that the student's consent to play the game was a valid defense against the claim of damages. The court had to decide whether the student's consent to participate in the game was sufficient to absolve the school authorities of their liability. The court's ruling in this case has become a landmark judgment, guiding the interpretation of a fundamental principle in the law of torts. 

Now, the question is: Gloucstershire grammar School Case is a leading case to explain the [Choose the correct option]",A) Volenti non fit injuria,C
7,7,"Right to freedom to acquire, hold and dispose -off property is abolished by","A) 44th Amendment Act, 1978 
 B) 43 rd Amendment Act, 1976 
 C) 50 th Amendment Act, 1950 
 D) I st Amendment Act, 1951","

Context:

The Indian Constitution, as adopted in 1950, guaranteed the fundamental right to property under Article 19(f) and Article 31. However, this right was subject to certain restrictions and limitations, such as the power of the state to acquire property for public purposes, subject to payment of compensation. Over time, the government faced challenges in implementing land reforms and redistributing land from large landholders to the landless. The government realized that the right to property was hindering its efforts to achieve social and economic justice.

In order to address these challenges, the government initiated a series of constitutional amendments. One such amendment aimed to abolish the right to property as a fundamental right. This amendment was a significant departure from the original constitutional framework and had far-reaching implications for the relationship between the state and its citizens.

The amendment in question was enacted during a period of great social and economic change in India, and its impact was felt across the country. It marked a significant shift in the balance of power between the state and individual citizens, and its effects are still being debated and contested today. 

This context will help you to answer the question correctly.","A) 44th Amendment Act, 1978",A
7,8,Which one of the following is covered under the definition of State,"A) The Indian Statistical Institute 
 B) Indian Council of Agricultural Research 
 C) Sainik School Society 
 D) NCERT on","

Context:

In the Indian Constitution, Article 12 defines the term ""State"" which includes the Government and Parliament of India, the Government and Legislature of each of the States, and all local or other authorities within the territory of India or under the control of the Government of India. This definition is crucial in understanding the scope of fundamental rights and the extent of the jurisdiction of the Indian Judiciary.

The Indian Statistical Institute (ISI) is an autonomous institute established in 1931, and is governed by the Indian Statistical Institute Act, 1959. It is primarily responsible for research and training in statistics and related fields.

The Indian Council of Agricultural Research (ICAR) is an autonomous organization under the Department of Agricultural Research and Education (DARE), Ministry of Agriculture and Farmers Welfare. It is responsible for coordinating agricultural research and education in the country.

The Sainik School Society is an autonomous body established in 1961, with the objective of establishing and managing Sainik Schools in the country. These schools are meant to prepare students for entry into the National Defence Academy.

NCERT (National Council of Educational Research and Training) is an autonomous organization established in 1961, with the objective of improving the quality of education in the country. It is responsible for development of curriculum, textbooks, and educational materials.

Now, based on the context, you can answer the question correctly.",C) Sainik School Society,D
7,9,National Conservation Strategy and Policy Statement Environment and Development is a major environmental policy in India and it was passed in the year,"A) 1988 
 B) 1982 
 C) 1992 
 D) 1990","

Here is the context:

The National Conservation Strategy and Policy Statement on Environment and Development is a significant environmental policy in India. This policy was formulated in response to the growing environmental concerns and the need to balance economic development with environmental protection. The policy emphasizes the importance of sustainable development and the need to conserve natural resources for future generations. It also recognizes the role of human beings in environmental degradation and the need to adopt a holistic approach to environmental conservation. The policy was formulated after a series of international and national efforts to address environmental issues. At the international level, the United Nations Conference on Human Environment held in Stockholm in 1972 was a major milestone in raising global awareness about environmental issues. The conference led to the establishment of the United Nations Environment Programme (UNEP) and the adoption of the Declaration of the United Nations Conference on Human Environment. In India, the National Committee on Environmental Planning and Coordination (NCEPC) was established in 1972 to coordinate environmental policies and programmes. The NCEPC was later replaced by the Ministry of Environment and Forests in 1985. 

Please let me know if you need any further clarification or modification.",C) 1992,C
7,10,"----- of the Environmental Protection Act, 1986, defines 'Environment'","A) Section 2(a) 
 B) Section 3(a) 
 C) Section 1(a) 
 D) Section 11(a)","

The Environmental Protection Act, 1986, is an Act of the Parliament of India, enacted with the objective of providing for the protection and improvement of the environment and for matters connected therewith. The Act was passed in the wake of the Bhopal Gas Tragedy, which was one of the worst industrial disasters in human history. The Act is considered a landmark legislation in the field of environmental law in India. The Act defines various terms related to the environment, including 'environment', 'pollution', 'hazardous substance', etc. The definitions are provided in the Act to clarify the scope and meaning of these terms, which are crucial for the implementation of the Act. According to the Act, the Central Government has the power to take measures to protect the environment, including the power to restrict or prohibit the handling of hazardous substances. 

Now, you can answer the question based on the provided context.",A) Section 2(a),A
