exam_number,question_number,question_text,options,generated_answer,actual_answer
7,1,Rashtriya Swasthya Bima Yojna is mainly meant to serve the needs of,"A) Organised workers 
 B) Unorganised workers 
 C) Unorganized sector workers belonging to BPL category and their family members 
 D) Organized sector workers belonging to BPL category and their family members", C,C
7,2,Equal pay for equal work for both men and women is proclaimed under---------- of the Constitution of India.,"A) Art.39(a) 
 B) Art.39(d) 
 C) Art.39(b) 
 D) Art.39(c)", C,B
7,3,"Where any workman is suspended by the employer pending investigation or inquiry into complaints or charges of misconduct against him, the employer shall pay to such workman subsistence allowance. This provision was inserted in the Industrial, Employment (Standing Orders) Act, 1946 in which year","A) 1992 
 B) 1982 
 C) 2009 
 D) 2010", C,B
7,4,Which was a leading case on the point as to whether an employer has a right to deduct wages unilaterally and without holding an enquiry for the period the employees go on strike or resort to go slow,"A) Bank of India v. T.S.Kelawala and others 
 B) Randhirsingh v. Union of India 
 C) Kamani metals and alloys Ltd. v. Their workmen 
 D) Workmen v. Reptakos Brett and Co.Ltd.", C,A
7,5,"Under the Industrial disputes Act, if the employer terminates the services of an individual workman, any dispute /difference arising out of such termination shall be deemed to be':","A) industrial dispute 
 B) individual dispute 
 C) both individual and industrial dispute 
 D) none of these.", B,A
7,6,Gloucstershire grammar School Case is a leading case to explain the,"A) Volenti non fit injuria 
 B) Injuria non fit volenti 
 C) Damnum sine injuria 
 D) Injuria sine damnum", C,C
7,7,"Right to freedom to acquire, hold and dispose -off property is abolished by","A) 44th Amendment Act, 1978 
 B) 43 rd Amendment Act, 1976 
 C) 50 th Amendment Act, 1950 
 D) I st Amendment Act, 1951", C,A
7,8,Which one of the following is covered under the definition of State,"A) The Indian Statistical Institute 
 B) Indian Council of Agricultural Research 
 C) Sainik School Society 
 D) NCERT on", C,D
7,9,National Conservation Strategy and Policy Statement Environment and Development is a major environmental policy in India and it was passed in the year,"A) 1988 
 B) 1982 
 C) 1992 
 D) 1990", C,C
7,10,"----- of the Environmental Protection Act, 1986, defines 'Environment'","A) Section 2(a) 
 B) Section 3(a) 
 C) Section 1(a) 
 D) Section 11(a)", C,A
7,11,Polluter Pays Principle means,"A) polluter should bear the cost of pollution as the polluter is responsible for pollution 
 B) polluter should not necessarily bear the cost of pollution as the polluter is may not be responsible for pollution 
 C) polluter may bear the cost of pollution as the polluter may be responsible for pollution 
 D) none of the above", A,A
